Zip Code ,Population,Case Count - Cumulative,Case Count - Last 30 Days ,Case Count - Last 14 Days ,Case Count Per 100K - Cumulative,Case Count Per 100K - Last 30 Days,Case Count Per 100K - Last 14 Days
43986,2332.0,323.0,59,21,13850.77,2530.02,900.51
43988,2263.0,372.0,61,22,16438.36,2695.54,972.16
44001,21130.0,4364.0,493,80,20653.1,2333.18,378.61
44003,4228.0,753.0,94,18,17809.84,2223.27,425.73
44004,31474.0,6739.0,726,141,21411.32,2306.67,447.99
44010,1555.0,297.0,27,7,19099.68,1736.33,450.16
44011,22786.0,4933.0,572,108,21649.26,2510.31,473.98
44012,23777.0,4425.0,556,102,18610.42,2338.39,428.99
44017,18903.0,3800.0,478,67,20102.63,2528.7,354.44
44021,6244.0,988.0,106,17,15823.19,1697.63,272.26
44022,16604.0,2755.0,341,76,16592.39,2053.72,457.72
44023,17473.0,3244.0,341,63,18565.79,1951.58,360.56
44024,23834.0,4354.0,407,73,18268.02,1707.64,306.29
44026,10989.0,1969.0,190,26,17917.92,1729.0,236.6
44028,9000.0,1770.0,168,29,19666.67,1866.67,322.22
44030,15949.0,2743.0,370,83,17198.57,2319.89,520.41
44032,1516.0,232.0,29,,15303.43,1912.93,
44035,63318.0,13126.0,"1,502",230,20730.28,2372.15,363.25
44039,33018.0,7020.0,765,123,21261.13,2316.92,372.52
44040,2903.0,552.0,49,6,19014.81,1687.91,206.68
44041,14321.0,2717.0,300,61,18972.14,2094.83,425.95
44044,15400.0,2986.0,379,64,19389.61,2461.04,415.58
44045,477.0,79.0,8,,16561.84,1677.15,
44046,2473.0,349.0,34,6,14112.41,1374.85,242.62
44047,9122.0,1820.0,203,54,19951.76,2225.39,591.98
44048,2529.0,465.0,46,5,18386.71,1818.9,197.71
44049,224.0,44.0,8,,19642.86,3571.43,
44050,6384.0,1487.0,160,27,23292.61,2506.27,422.93
44052,28576.0,6675.0,845,113,23358.76,2957.03,395.44
44053,18895.0,5166.0,608,111,27340.57,3217.78,587.46
44054,12613.0,2477.0,296,43,19638.47,2346.79,340.92
44055,19943.0,4659.0,620,98,23361.58,3108.86,491.4
44056,11808.0,2587.0,272,47,21908.88,2303.52,398.04
44057,19482.0,4087.0,414,75,20978.34,2125.04,384.97
44060,60476.0,11784.0,"1,162",182,19485.42,1921.42,300.95
44062,14523.0,1435.0,147,27,9880.88,1012.19,185.91
44064,1724.0,279.0,24,,16183.29,1392.11,
44065,4522.0,734.0,51,10,16231.76,1127.82,221.14
44067,20470.0,4105.0,431,80,20053.74,2105.52,390.82
44070,31847.0,6041.0,602,93,18968.82,1890.29,292.02
44072,4420.0,724.0,73,13,16380.09,1651.58,294.12
44074,11376.0,1724.0,329,43,15154.71,2892.05,377.99
44076,5022.0,677.0,99,17,13480.68,1971.33,338.51
44077,56353.0,11791.0,"1,215",215,20923.46,2156.05,381.52
44080,92.0,,,,,,
44081,7104.0,1309.0,137,30,18426.24,1928.49,422.3
44082,2464.0,227.0,28,9,9212.66,1136.36,365.26
44084,3749.0,644.0,62,14,17177.91,1653.77,373.43
44085,3448.0,442.0,43,6,12819.03,1247.1,174.01
44086,2558.0,391.0,34,12,15285.38,1329.16,469.12
